Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,PSH Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Flow IAT Mean,Label
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
51,2,0,2944.0,0.0,57725490.19607844,39215.68627450981,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,51.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
5,2,0,2944.0,0.0,588800000.0,400000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,5.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
2,2,0,2944.0,0.0,1472000000.0,1000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,2.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
2,2,0,2944.0,0.0,1472000000.0,1000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,2.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
48,2,0,2944.0,0.0,61333333.33333333,41666.66666666666,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,48.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
63441,2,2,72.0,146.0,3436.263615012374,63.05070853233713,50.8,20.265734627691145,73.0,36.0,0,0,0,0,1.0,63.5,36.0,73.0,21147.0,BENIGN
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
49,2,0,458.0,0.0,9346938.775510203,40816.32653061225,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,49.0,NetBIOS
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
33335,2,2,62.0,94.0,4679.766011699416,119.99400029998502,37.4,8.763560920082657,47.0,31.0,0,0,0,0,1.0,46.75,31.0,47.0,11111.666666666668,BENIGN
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,2928.0,0.0,2928000000.0,2000000.0,1464.0,0.0,1464.0,1464.0,0,0,0,0,0.0,2196.0,1464.0,0.0,1.0,LDAP
21057,2,2,74.0,180.0,12062.497031865889,189.9605831789904,58.2,29.02929554777381,90.0,37.0,0,0,0,0,1.0,72.75,37.0,90.0,7019.0,BENIGN
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
108,1,2,6.0,12.0,166666.6666666667,27777.777777777777,6.0,0.0,6.0,6.0,0,0,0,0,2.0,8.0,6.0,6.0,54.0,BENIGN
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
20723,2,2,64.0,96.0,7720.889832553203,193.02224581383007,38.4,8.763560920082657,48.0,32.0,0,0,0,0,1.0,48.0,32.0,48.0,6907.666666666666,BENIGN
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
3,2,0,2944.0,0.0,981333333.3333333,666666.6666666666,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,3.0,LDAP
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
1,2,0,2944.0,0.0,2944000000.0,2000000.0,1472.0,0.0,1472.0,1472.0,0,0,0,0,0.0,2208.0,1472.0,0.0,1.0,LDAP
1,2,0,458.0,0.0,458000000.0,2000000.0,229.0,0.0,229.0,229.0,0,0,0,0,0.0,343.5,229.0,0.0,1.0,NetBIOS
